object	parent_dir	type_obj	size
app_generic.vdf		file	2241
basicui.vdf		file	109544
basicui_gamepad.vdf		file	36925
basicui_neptune.vdf		file	113717
bigpicture.vdf		file	100604
bigpicture_daisywheel.vdf		file	257
bigpicture_gamepad.vdf		file	34243
bigpicture_gyro.vdf		file	254
bigpicture_mouseon.vdf		file	800
bigpicture_neptune.vdf		file	109121
bp_ps4.vdf		file	35020
bp_steamcontroller_gordon.vdf		file	102746
bp_switch_pro.vdf		file	35423
bp_xboxone.vdf		file	34225
chord.vdf		file	5484
chord_android.vdf		file	1838
chord_apple.vdf		file	2251
chord_mobile_touch.vdf		file	5432
chord_neptune.vdf		file	5594
chord_neptune_external.vdf		file	5968
chord_ps4.vdf		file	4841
chord_steamcontroller_gordon.vdf		file	4795
chord_xboxone.vdf		file	4918
d0ggle.bin		file	19118
desktop_neptune.vdf		file	18620
desktop_ps4.vdf		file	7920
desktop_steamcontroller_gordon.vdf		file	2224
desktop_xboxone.vdf		file	7924
disabled_ps4.vdf		file	415
disabled_xboxone.vdf		file	419
empty.vdf		file	178
gamepad_generic.vdf		file	1920
images		directory	7038968
launcher.vdf		file	1930
launcher_kbm.vdf		file	5026
localization		directory	371649
steamdesktop.vdf		file	2728
streaming_steamdesktop.vdf		file	3694
templates		directory	719806
videoplayer.vdf		file	2325
api	\images	directory	7038968
dualshock_4_brazilian.txt	\localization	file	3542
dualshock_4_bulgarian.txt	\localization	file	4236
dualshock_4_czech.txt	\localization	file	3807
dualshock_4_danish.txt	\localization	file	3523
dualshock_4_dutch.txt	\localization	file	3378
dualshock_4_english.txt	\localization	file	3062
dualshock_4_finnish.txt	\localization	file	3390
dualshock_4_french.txt	\localization	file	3534
dualshock_4_german.txt	\localization	file	3288
dualshock_4_greek.txt	\localization	file	4530
dualshock_4_hungarian.txt	\localization	file	3227
dualshock_4_italian.txt	\localization	file	3462
dualshock_4_japanese.txt	\localization	file	3421
dualshock_4_korean.txt	\localization	file	3408
dualshock_4_koreana.txt	\localization	file	3203
dualshock_4_latam.txt	\localization	file	3479
dualshock_4_norwegian.txt	\localization	file	3410
dualshock_4_polish.txt	\localization	file	3467
dualshock_4_portuguese.txt	\localization	file	3451
dualshock_4_romanian.txt	\localization	file	3481
dualshock_4_russian.txt	\localization	file	4546
dualshock_4_schinese.txt	\localization	file	3032
dualshock_4_spanish.txt	\localization	file	3477
dualshock_4_swedish.txt	\localization	file	3581
dualshock_4_tchinese.txt	\localization	file	3061
dualshock_4_thai.txt	\localization	file	4437
dualshock_4_turkish.txt	\localization	file	3380
dualshock_4_ukrainian.txt	\localization	file	4438
dualshock_4_vietnamese.txt	\localization	file	3186
steam_controller_brazilian.txt	\localization	file	2496
steam_controller_bulgarian.txt	\localization	file	2888
steam_controller_czech.txt	\localization	file	2501
steam_controller_danish.txt	\localization	file	2417
steam_controller_dutch.txt	\localization	file	2335
steam_controller_english.txt	\localization	file	4883
steam_controller_finnish.txt	\localization	file	2411
steam_controller_french.txt	\localization	file	2399
steam_controller_german.txt	\localization	file	2291
steam_controller_greek.txt	\localization	file	3025
steam_controller_hungarian.txt	\localization	file	2253
steam_controller_italian.txt	\localization	file	2370
steam_controller_japanese.txt	\localization	file	2398
steam_controller_korean.txt	\localization	file	2354
steam_controller_koreana.txt	\localization	file	2354
steam_controller_latam.txt	\localization	file	2433
steam_controller_norwegian.txt	\localization	file	2400
steam_controller_polish.txt	\localization	file	2376
steam_controller_portuguese.txt	\localization	file	2367
steam_controller_romanian.txt	\localization	file	2430
steam_controller_russian.txt	\localization	file	2829
steam_controller_schinese.txt	\localization	file	2228
steam_controller_spanish.txt	\localization	file	2447
steam_controller_swedish.txt	\localization	file	2492
steam_controller_tchinese.txt	\localization	file	2232
steam_controller_thai.txt	\localization	file	2916
steam_controller_turkish.txt	\localization	file	2388
steam_controller_ukrainian.txt	\localization	file	2865
steam_controller_vietnamese.txt	\localization	file	2312
switch_controller_brazilian.txt	\localization	file	2999
switch_controller_bulgarian.txt	\localization	file	3752
switch_controller_czech.txt	\localization	file	3083
switch_controller_danish.txt	\localization	file	2742
switch_controller_dutch.txt	\localization	file	2847
switch_controller_english.txt	\localization	file	2573
switch_controller_finnish.txt	\localization	file	3005
switch_controller_french.txt	\localization	file	2768
switch_controller_german.txt	\localization	file	2745
switch_controller_greek.txt	\localization	file	3635
switch_controller_hungarian.txt	\localization	file	2663
switch_controller_italian.txt	\localization	file	3061
switch_controller_japanese.txt	\localization	file	1409
switch_controller_korean.txt	\localization	file	1371
switch_controller_koreana.txt	\localization	file	2791
switch_controller_latam.txt	\localization	file	2988
switch_controller_norwegian.txt	\localization	file	2791
switch_controller_polish.txt	\localization	file	2815
switch_controller_portuguese.txt	\localization	file	2858
switch_controller_romanian.txt	\localization	file	3010
switch_controller_russian.txt	\localization	file	3474
switch_controller_schinese.txt	\localization	file	2440
switch_controller_spanish.txt	\localization	file	2988
switch_controller_swedish.txt	\localization	file	2921
switch_controller_tchinese.txt	\localization	file	2495
switch_controller_thai.txt	\localization	file	3729
switch_controller_turkish.txt	\localization	file	2650
switch_controller_ukrainian.txt	\localization	file	3493
switch_controller_vietnamese.txt	\localization	file	2939
xbox_360_brazilian.txt	\localization	file	1720
xbox_360_bulgarian.txt	\localization	file	2162
xbox_360_czech.txt	\localization	file	1871
xbox_360_danish.txt	\localization	file	1750
xbox_360_dutch.txt	\localization	file	1683
xbox_360_english.txt	\localization	file	1603
xbox_360_finnish.txt	\localization	file	1692
xbox_360_french.txt	\localization	file	1698
xbox_360_german.txt	\localization	file	1650
xbox_360_greek.txt	\localization	file	2208
xbox_360_hungarian.txt	\localization	file	1561
xbox_360_italian.txt	\localization	file	1780
xbox_360_japanese.txt	\localization	file	1685
xbox_360_korean.txt	\localization	file	1673
xbox_360_koreana.txt	\localization	file	1729
xbox_360_latam.txt	\localization	file	1816
xbox_360_norwegian.txt	\localization	file	1754
xbox_360_polish.txt	\localization	file	1772
xbox_360_portuguese.txt	\localization	file	1743
